"LOCATION","INDICATOR","SUBJECT","MEASURE","FREQUENCY","TIME","Value","Flag Codes"
"AUS","POP","TOT","AGRWTH","A","1994",0.9639921,
"AUS","POP","TOT","AGRWTH","A","1995",1.12328,
"AUS","POP","TOT","AGRWTH","A","1996",1.221883,
"AUS","POP","TOT","AGRWTH","A","1997",1.08642,
"AUS","POP","TOT","AGRWTH","A","1998",1.00418,
"AUS","POP","TOT","AGRWTH","A","1999",1.096303,
"AUS","POP","TOT","AGRWTH","A","2000",1.153519,
"AUS","POP","TOT","AGRWTH","A","2001",1.292764,
"AUS","POP","TOT","AGRWTH","A","2002",1.141375,
"AUS","POP","TOT","AGRWTH","A","2003",1.159272,
"AUS","POP","TOT","AGRWTH","A","2004",1.074996,
"AUS","POP","TOT","AGRWTH","A","2005",1.224101,
"AUS","POP","TOT","AGRWTH","A","2006",1.357982,
"AUS","POP","TOT","AGRWTH","A","2007",1.843431,
"AUS","POP","TOT","AGRWTH","A","2008",2.021317,
"AUS","POP","TOT","AGRWTH","A","2009",2.084804,
"AUS","POP","TOT","AGRWTH","A","2010",1.567398,
"AUS","POP","TOT","AGRWTH","A","2011",1.397967,
"AUS","POP","TOT","AGRWTH","A","2012",1.736795,
"AUS","POP","TOT","AGRWTH","A","2013",1.751144,
"AUS","POP","TOT","AGRWTH","A","2014",1.57831,
"AUS","POP","MEN","MLN_PER","A","1956",4.776,
"AUS","POP","MEN","MLN_PER","A","1957",4.882,
"AUS","POP","MEN","MLN_PER","A","1958",4.976,
"AUS","POP","MEN","MLN_PER","A","1959",5.08,
"AUS","POP","MEN","MLN_PER","A","1960",5.1923,
"AUS","POP","MEN","MLN_PER","A","1961",5.3123,
"AUS","POP","MEN","MLN_PER","A","1962",5.3992,
"AUS","POP","MEN","MLN_PER","A","1963",5.4999,
"AUS","POP","MEN","MLN_PER","A","1964",5.6052,
"AUS","POP","MEN","MLN_PER","A","1965",5.7145,
"AUS","POP","MEN","MLN_PER","A","1966",5.841588,
"AUS","POP","MEN","MLN_PER","A","1967",5.939321,
"AUS","POP","MEN","MLN_PER","A","1968",6.043235,
"AUS","POP","MEN","MLN_PER","A","1969",6.170191,
"AUS","POP","MEN","MLN_PER","A","1970",6.291977,"B"
"AUS","POP","MEN","MLN_PER","A","1971",6.567936,
"AUS","POP","MEN","MLN_PER","A","1972",6.685153,
"AUS","POP","MEN","MLN_PER","A","1973",6.782848,
"AUS","POP","MEN","MLN_PER","A","1974",6.889668,
"AUS","POP","MEN","MLN_PER","A","1975",6.969181,
"AUS","POP","MEN","MLN_PER","A","1976",7.032034,
"AUS","POP","MEN","MLN_PER","A","1977",7.104702,
"AUS","POP","MEN","MLN_PER","A","1978",7.181293,
"AUS","POP","MEN","MLN_PER","A","1979",7.253762,
"AUS","POP","MEN","MLN_PER","A","1980",7.33806,
"AUS","POP","MEN","MLN_PER","A","1981",7.448267,
"AUS","POP","MEN","MLN_PER","A","1982",7.580914,
"AUS","POP","MEN","MLN_PER","A","1983",7.686346,
"AUS","POP","MEN","MLN_PER","A","1984",7.778212,
"AUS","POP","MEN","MLN_PER","A","1985",7.882728,
"AUS","POP","MEN","MLN_PER","A","1986",8.000187,
"AUS","POP","MEN","MLN_PER","A","1987",8.118255,
"AUS","POP","MEN","MLN_PER","A","1988",8.248945,
"AUS","POP","MEN","MLN_PER","A","1989",8.387589,
"AUS","POP","MEN","MLN_PER","A","1990",8.511269,
"AUS","POP","MEN","MLN_PER","A","1991",8.615409,
"AUS","POP","MEN","MLN_PER","A","1992",8.708,
"AUS","POP","MEN","MLN_PER","A","1993",8.782,
"AUS","POP","MEN","MLN_PER","A","1994",8.864,
"AUS","POP","MEN","MLN_PER","A","1995",8.96,
"AUS","POP","MEN","MLN_PER","A","1996",9.065,
"AUS","POP","MEN","MLN_PER","A","1997",9.156,
"AUS","POP","MEN","MLN_PER","A","1998",9.243,
"AUS","POP","MEN","MLN_PER","A","1999",9.34,
"AUS","POP","MEN","MLN_PER","A","2000",9.443,
"AUS","POP","MEN","MLN_PER","A","2001",9.562,
"AUS","POP","MEN","MLN_PER","A","2002",9.675,
"AUS","POP","MEN","MLN_PER","A","2003",9.788,
"AUS","POP","MEN","MLN_PER","A","2004",9.896,
"AUS","POP","MEN","MLN_PER","A","2005",10.02,
"AUS","POP","MEN","MLN_PER","A","2006",10.159,
"AUS","POP","MEN","MLN_PER","A","2007",10.354,
"AUS","POP","MEN","MLN_PER","A","2008",10.572,
"AUS","POP","MEN","MLN_PER","A","2009",10.801,
"AUS","POP","MEN","MLN_PER","A","2010",10.968,
"AUS","POP","MEN","MLN_PER","A","2011",11.118,
"AUS","POP","MEN","MLN_PER","A","2012",11.313,
"AUS","POP","MEN","MLN_PER","A","2013",11.512,
"AUS","POP","MEN","MLN_PER","A","2014",11.693,
"AUS","POP","TOT","MLN_PER","A","1956",9.426,
"AUS","POP","TOT","MLN_PER","A","1957",9.64,
"AUS","POP","TOT","MLN_PER","A","1958",9.842,
"AUS","POP","TOT","MLN_PER","A","1959",10.056,
"AUS","POP","TOT","MLN_PER","A","1960",10.275,
"AUS","POP","TOT","MLN_PER","A","1961",10.5082,
"AUS","POP","TOT","MLN_PER","A","1962",10.7005,
"AUS","POP","TOT","MLN_PER","A","1963",10.9069,
"AUS","POP","TOT","MLN_PER","A","1964",11.1216,
"AUS","POP","TOT","MLN_PER","A","1965",11.3409,
"AUS","POP","TOT","MLN_PER","A","1966",11.5995,
"AUS","POP","TOT","MLN_PER","A","1967",11.79908,
"AUS","POP","TOT","MLN_PER","A","1968",12.00863,
"AUS","POP","TOT","MLN_PER","A","1969",12.26301,
"AUS","POP","TOT","MLN_PER","A","1970",12.50735,"B"
"AUS","POP","TOT","MLN_PER","A","1971",13.06726,
"AUS","POP","TOT","MLN_PER","A","1972",13.30366,
"AUS","POP","TOT","MLN_PER","A","1973",13.50454,
"AUS","POP","TOT","MLN_PER","A","1974",13.72257,
"AUS","POP","TOT","MLN_PER","A","1975",13.893,
"AUS","POP","TOT","MLN_PER","A","1976",14.03308,
"AUS","POP","TOT","MLN_PER","A","1977",14.19223,
"AUS","POP","TOT","MLN_PER","A","1978",14.35925,
"AUS","POP","TOT","MLN_PER","A","1979",14.51573,
"AUS","POP","TOT","MLN_PER","A","1980",14.69536,
"AUS","POP","TOT","MLN_PER","A","1981",14.92326,
"AUS","POP","TOT","MLN_PER","A","1982",15.18425,
"AUS","POP","TOT","MLN_PER","A","1983",15.39347,
"AUS","POP","TOT","MLN_PER","A","1984",15.57939,
"AUS","POP","TOT","MLN_PER","A","1985",15.78831,
"AUS","POP","TOT","MLN_PER","A","1986",16.01835,
"AUS","POP","TOT","MLN_PER","A","1987",16.26387,
"AUS","POP","TOT","MLN_PER","A","1988",16.53216,
"AUS","POP","TOT","MLN_PER","A","1989",16.81442,
"AUS","POP","TOT","MLN_PER","A","1990",17.06513,
"AUS","POP","TOT","MLN_PER","A","1991",17.28404,
"AUS","POP","TOT","MLN_PER","A","1992",17.479,
"AUS","POP","TOT","MLN_PER","A","1993",17.635,
"AUS","POP","TOT","MLN_PER","A","1994",17.805,
"AUS","POP","TOT","MLN_PER","A","1995",18.005,
"AUS","POP","TOT","MLN_PER","A","1996",18.225,
"AUS","POP","TOT","MLN_PER","A","1997",18.423,
"AUS","POP","TOT","MLN_PER","A","1998",18.608,
"AUS","POP","TOT","MLN_PER","A","1999",18.812,
"AUS","POP","TOT","MLN_PER","A","2000",19.029,
"AUS","POP","TOT","MLN_PER","A","2001",19.275,
"AUS","POP","TOT","MLN_PER","A","2002",19.495,
"AUS","POP","TOT","MLN_PER","A","2003",19.721,
"AUS","POP","TOT","MLN_PER","A","2004",19.933,
"AUS","POP","TOT","MLN_PER","A","2005",20.177,
"AUS","POP","TOT","MLN_PER","A","2006",20.451,
"AUS","POP","TOT","MLN_PER","A","2007",20.828,
"AUS","POP","TOT","MLN_PER","A","2008",21.249,
"AUS","POP","TOT","MLN_PER","A","2009",21.692,
"AUS","POP","TOT","MLN_PER","A","2010",22.032,
"AUS","POP","TOT","MLN_PER","A","2011",22.34,
"AUS","POP","TOT","MLN_PER","A","2012",22.728,
"AUS","POP","TOT","MLN_PER","A","2013",23.126,
"AUS","POP","TOT","MLN_PER","A","2014",23.491,
"AUS","POP","WOMEN","MLN_PER","A","1956",4.65,
"AUS","POP","WOMEN","MLN_PER","A","1957",4.758,
"AUS","POP","WOMEN","MLN_PER","A","1958",4.866,
"AUS","POP","WOMEN","MLN_PER","A","1959",4.976,
"AUS","POP","WOMEN","MLN_PER","A","1960",5.0827,
"AUS","POP","WOMEN","MLN_PER","A","1961",5.1959,
"AUS","POP","WOMEN","MLN_PER","A","1962",5.3013,
"AUS","POP","WOMEN","MLN_PER","A","1963",5.407,
"AUS","POP","WOMEN","MLN_PER","A","1964",5.5164,
"AUS","POP","WOMEN","MLN_PER","A","1965",5.6264,
"AUS","POP","WOMEN","MLN_PER","A","1966",5.75791,
"AUS","POP","WOMEN","MLN_PER","A","1967",5.859757,
"AUS","POP","WOMEN","MLN_PER","A","1968",5.9654,
"AUS","POP","WOMEN","MLN_PER","A","1969",6.092823,
"AUS","POP","WOMEN","MLN_PER","A","1970",6.215372,"B"
"AUS","POP","WOMEN","MLN_PER","A","1971",6.499329,
"AUS","POP","WOMEN","MLN_PER","A","1972",6.618511,
"AUS","POP","WOMEN","MLN_PER","A","1973",6.72169,
"AUS","POP","WOMEN","MLN_PER","A","1974",6.832903,
"AUS","POP","WOMEN","MLN_PER","A","1975",6.923814,
"AUS","POP","WOMEN","MLN_PER","A","1976",7.001049,
"AUS","POP","WOMEN","MLN_PER","A","1977",7.087532,
"AUS","POP","WOMEN","MLN_PER","A","1978",7.177962,
"AUS","POP","WOMEN","MLN_PER","A","1979",7.261967,
"AUS","POP","WOMEN","MLN_PER","A","1980",7.357296,
"AUS","POP","WOMEN","MLN_PER","A","1981",7.474993,
"AUS","POP","WOMEN","MLN_PER","A","1982",7.603333,
"AUS","POP","WOMEN","MLN_PER","A","1983",7.707126,
"AUS","POP","WOMEN","MLN_PER","A","1984",7.801179,
"AUS","POP","WOMEN","MLN_PER","A","1985",7.905584,
"AUS","POP","WOMEN","MLN_PER","A","1986",8.018163,
"AUS","POP","WOMEN","MLN_PER","A","1987",8.145619,
"AUS","POP","WOMEN","MLN_PER","A","1988",8.283219,
"AUS","POP","WOMEN","MLN_PER","A","1989",8.426827,
"AUS","POP","WOMEN","MLN_PER","A","1990",8.553859,
"AUS","POP","WOMEN","MLN_PER","A","1991",8.668627,
"AUS","POP","WOMEN","MLN_PER","A","1992",8.77,
"AUS","POP","WOMEN","MLN_PER","A","1993",8.853,
"AUS","POP","WOMEN","MLN_PER","A","1994",8.942,
"AUS","POP","WOMEN","MLN_PER","A","1995",9.044,
"AUS","POP","WOMEN","MLN_PER","A","1996",9.159,
"AUS","POP","WOMEN","MLN_PER","A","1997",9.267,
"AUS","POP","WOMEN","MLN_PER","A","1998",9.364,
"AUS","POP","WOMEN","MLN_PER","A","1999",9.472,
"AUS","POP","WOMEN","MLN_PER","A","2000",9.585,
"AUS","POP","WOMEN","MLN_PER","A","2001",9.713,
"AUS","POP","WOMEN","MLN_PER","A","2002",9.82,
"AUS","POP","WOMEN","MLN_PER","A","2003",9.933,
"AUS","POP","WOMEN","MLN_PER","A","2004",10.037,
"AUS","POP","WOMEN","MLN_PER","A","2005",10.157,
"AUS","POP","WOMEN","MLN_PER","A","2006",10.292,
"AUS","POP","WOMEN","MLN_PER","A","2007",10.474,
"AUS","POP","WOMEN","MLN_PER","A","2008",10.677,
"AUS","POP","WOMEN","MLN_PER","A","2009",10.891,
"AUS","POP","WOMEN","MLN_PER","A","2010",11.064,
"AUS","POP","WOMEN","MLN_PER","A","2011",11.222,
"AUS","POP","WOMEN","MLN_PER","A","2012",11.415,
"AUS","POP","WOMEN","MLN_PER","A","2013",11.614,
"AUS","POP","WOMEN","MLN_PER","A","2014",11.798,
"AUT","POP","TOT","AGRWTH","A","1951",0.00506121,
"AUT","POP","TOT","AGRWTH","A","1952",-0.110721,
"AUT","POP","TOT","AGRWTH","A","1953",0.06800166,
"AUT","POP","TOT","AGRWTH","A","1954",0.1114464,
"AUT","POP","TOT","AGRWTH","A","1955",0.09619307,
"AUT","POP","TOT","AGRWTH","A","1956",0.07879791,
"AUT","POP","TOT","AGRWTH","A","1957",0.1941931,
"AUT","POP","TOT","AGRWTH","A","1958",0.3086195,
"AUT","POP","TOT","AGRWTH","A","1959",0.3860257,
"AUT","POP","TOT","AGRWTH","A","1960",0.4734308,
"AUT","POP","TOT","AGRWTH","A","1961",0.549965,
"AUT","POP","TOT","AGRWTH","A","1962",0.6147921,
"AUT","POP","TOT","AGRWTH","A","1963",0.6444302,
"AUT","POP","TOT","AGRWTH","A","1964",0.6687746,
"AUT","POP","TOT","AGRWTH","A","1965",0.6518313,
"AUT","POP","TOT","AGRWTH","A","1966",0.7038755,
"AUT","POP","TOT","AGRWTH","A","1967",0.7502254,
"AUT","POP","TOT","AGRWTH","A","1968",0.5205911,
"AUT","POP","TOT","AGRWTH","A","1969",0.3459421,
"AUT","POP","TOT","AGRWTH","A","1970",0.3498294,
"AUT","POP","TOT","AGRWTH","A","1971",0.4472294,
"AUT","POP","TOT","AGRWTH","A","1972",0.5828959,
"AUT","POP","TOT","AGRWTH","A","1973",0.5555658,
"AUT","POP","TOT","AGRWTH","A","1974",0.1703639,
"AUT","POP","TOT","AGRWTH","A","1975",-0.2649809,
"AUT","POP","TOT","AGRWTH","A","1976",-0.1765031,
"AUT","POP","TOT","AGRWTH","A","1977",0.03839786,
"AUT","POP","TOT","AGRWTH","A","1978",-0.08094149,
"AUT","POP","TOT","AGRWTH","A","1979",-0.1703185,
"AUT","POP","TOT","AGRWTH","A","1980",0.0001059683,
"AUT","POP","TOT","AGRWTH","A","1981",0.255357,
"AUT","POP","TOT","AGRWTH","A","1982",0.07172953,
"AUT","POP","TOT","AGRWTH","A","1983",-0.1614573,
"AUT","POP","TOT","AGRWTH","A","1984",-0.006294706,
"AUT","POP","TOT","AGRWTH","A","1985",0.04694877,
"AUT","POP","TOT","AGRWTH","A","1986",0.06358242,
"AUT","POP","TOT","AGRWTH","A","1987",0.06329102,
"AUT","POP","TOT","AGRWTH","A","1988",0.1416843,
"AUT","POP","TOT","AGRWTH","A","1989",0.451517,
"AUT","POP","TOT","AGRWTH","A","1990",0.7649255,
"AUT","POP","TOT","AGRWTH","A","1991",1.003406,
"AUT","POP","TOT","AGRWTH","A","1992",1.106644,
"AUT","POP","TOT","AGRWTH","A","1993",0.8280246,
"AUT","POP","TOT","AGRWTH","A","1994",0.3856112,
"AUT","POP","TOT","AGRWTH","A","1995",0.1532362,
"AUT","POP","TOT","AGRWTH","A","1996",0.1350984,
"AUT","POP","TOT","AGRWTH","A","1997",0.1133934,
"AUT","POP","TOT","AGRWTH","A","1998",0.109776,
"AUT","POP","TOT","AGRWTH","A","1999",0.1947526,
"AUT","POP","TOT","AGRWTH","A","2000",0.2407686,
"AUT","POP","TOT","AGRWTH","A","2001",0.383533,
"AUT","POP","TOT","AGRWTH","A","2002",0.4952319,
"AUT","POP","TOT","AGRWTH","A","2003",0.4469619,
"AUT","POP","TOT","AGRWTH","A","2004",0.6306289,
"AUT","POP","TOT","AGRWTH","A","2005",0.6834862,
"AUT","POP","TOT","AGRWTH","A","2006",0.5187666,
"AUT","POP","TOT","AGRWTH","A","2007",0.3294772,
"AUT","POP","TOT","AGRWTH","A","2008",0.3176781,
"AUT","POP","TOT","AGRWTH","A","2009",0.2396431,
"AUT","POP","TOT","AGRWTH","A","2010",0.2348024,
"AUT","POP","TOT","AGRWTH","A","2011",0.3284867,
"AUT","POP","TOT","AGRWTH","A","2012",0.4503409,
"AUT","POP","TOT","AGRWTH","A","2013",0.5015125,"B"
"AUT","POP","MEN","MLN_PER","A","1950",3.217817,
"AUT","POP","MEN","MLN_PER","A","1951",3.217597,
"AUT","POP","MEN","MLN_PER","A","1952",3.214725,
"AUT","POP","MEN","MLN_PER","A","1953",3.218332,
"AUT","POP","MEN","MLN_PER","A","1954",3.223351,
"AUT","POP","MEN","MLN_PER","A","1955",3.227687,
"AUT","POP","MEN","MLN_PER","A","1956",3.2313,
"AUT","POP","MEN","MLN_PER","A","1957",3.23899,
"AUT","POP","MEN","MLN_PER","A","1958",3.250595,
"AUT","POP","MEN","MLN_PER","A","1959",3.264936,
"AUT","POP","MEN","MLN_PER","A","1960",3.282407,
"AUT","POP","MEN","MLN_PER","A","1961",3.302685,
"AUT","POP","MEN","MLN_PER","A","1962",3.325703,
"AUT","POP","MEN","MLN_PER","A","1963",3.350508,
"AUT","POP","MEN","MLN_PER","A","1964",3.376713,
"AUT","POP","MEN","MLN_PER","A","1965",3.403729,
"AUT","POP","MEN","MLN_PER","A","1966",3.433887,
"AUT","POP","MEN","MLN_PER","A","1967",3.465919,
"AUT","POP","MEN","MLN_PER","A","1968",3.487877,
"AUT","POP","MEN","MLN_PER","A","1969",3.50256,
"AUT","POP","MEN","MLN_PER","A","1970",3.518023,
"AUT","POP","MEN","MLN_PER","A","1971",3.537533,
"AUT","POP","MEN","MLN_PER","A","1972",3.562833,
"AUT","POP","MEN","MLN_PER","A","1973",3.587593,
"AUT","POP","MEN","MLN_PER","A","1974",3.594198,
"AUT","POP","MEN","MLN_PER","A","1975",3.580808,
"AUT","POP","MEN","MLN_PER","A","1976",3.572863,
"AUT","POP","MEN","MLN_PER","A","1977",3.575084,
"AUT","POP","MEN","MLN_PER","A","1978",3.572495,
"AUT","POP","MEN","MLN_PER","A","1979",3.566063,
"AUT","POP","MEN","MLN_PER","A","1980",3.567176,
"AUT","POP","MEN","MLN_PER","A","1981",3.580229,
"AUT","POP","MEN","MLN_PER","A","1982",3.586437,
"AUT","POP","MEN","MLN_PER","A","1983",3.583005,
"AUT","POP","MEN","MLN_PER","A","1984",3.585769,
"AUT","POP","MEN","MLN_PER","A","1985",3.591248,
"AUT","POP","MEN","MLN_PER","A","1986",3.598289,
"AUT","POP","MEN","MLN_PER","A","1987",3.605454,
"AUT","POP","MEN","MLN_PER","A","1988",3.615923,
"AUT","POP","MEN","MLN_PER","A","1989",3.639025,
"AUT","POP","MEN","MLN_PER","A","1990",3.675557,
"AUT","POP","MEN","MLN_PER","A","1991",3.721375,
"AUT","POP","MEN","MLN_PER","A","1992",3.769898,
"AUT","POP","MEN","MLN_PER","A","1993",3.807067,
"AUT","POP","MEN","MLN_PER","A","1994",3.826044,
"AUT","POP","MEN","MLN_PER","A","1995",3.834075,
"AUT","POP","MEN","MLN_PER","A","1996",3.840484,
"AUT","POP","MEN","MLN_PER","A","1997",3.846162,
"AUT","POP","MEN","MLN_PER","A","1998",3.852167,
"AUT","POP","MEN","MLN_PER","A","1999",3.86218,
"AUT","POP","MEN","MLN_PER","A","2000",3.874717,
"AUT","POP","MEN","MLN_PER","A","2001",3.893919,
"AUT","POP","MEN","MLN_PER","A","2002",3.91894,
"AUT","POP","MEN","MLN_PER","A","2003",3.940285,
"AUT","POP","MEN","MLN_PER","A","2004",3.967701,
"AUT","POP","MEN","MLN_PER","A","2005",3.998952,
"AUT","POP","MEN","MLN_PER","A","2006",4.022516,
"AUT","POP","MEN","MLN_PER","A","2007",4.036548,
"AUT","POP","MEN","MLN_PER","A","2008",4.050215,
"AUT","POP","MEN","MLN_PER","A","2009",4.061195,
"AUT","POP","MEN","MLN_PER","A","2010",4.071773,
"AUT","POP","MEN","MLN_PER","A","2011",4.087188,
"AUT","POP","MEN","MLN_PER","A","2012",4.109431,
"AUT","POP","MEN","MLN_PER","A","2013",4.133008,"B"
"AUT","POP","MEN","MLN_PER","A","2014",4.152171,
"AUT","POP","TOT","MLN_PER","A","1950",6.9351,
"AUT","POP","TOT","MLN_PER","A","1951",6.935451,
"AUT","POP","TOT","MLN_PER","A","1952",6.927772,
"AUT","POP","TOT","MLN_PER","A","1953",6.932483,
"AUT","POP","TOT","MLN_PER","A","1954",6.940209,
"AUT","POP","TOT","MLN_PER","A","1955",6.946885,
"AUT","POP","TOT","MLN_PER","A","1956",6.952359,
"AUT","POP","TOT","MLN_PER","A","1957",6.96586,
"AUT","POP","TOT","MLN_PER","A","1958",6.987358,
"AUT","POP","TOT","MLN_PER","A","1959",7.014331,
"AUT","POP","TOT","MLN_PER","A","1960",7.047539,
"AUT","POP","TOT","MLN_PER","A","1961",7.086298,
"AUT","POP","TOT","MLN_PER","A","1962",7.129864,
"AUT","POP","TOT","MLN_PER","A","1963",7.175811,
"AUT","POP","TOT","MLN_PER","A","1964",7.223801,
"AUT","POP","TOT","MLN_PER","A","1965",7.270888,
"AUT","POP","TOT","MLN_PER","A","1966",7.322066,
"AUT","POP","TOT","MLN_PER","A","1967",7.376998,
"AUT","POP","TOT","MLN_PER","A","1968",7.415402,
"AUT","POP","TOT","MLN_PER","A","1969",7.441055,
"AUT","POP","TOT","MLN_PER","A","1970",7.467086,
"AUT","POP","TOT","MLN_PER","A","1971",7.500481,
"AUT","POP","TOT","MLN_PER","A","1972",7.544201,
"AUT","POP","TOT","MLN_PER","A","1973",7.586114,
"AUT","POP","TOT","MLN_PER","A","1974",7.599038,
"AUT","POP","TOT","MLN_PER","A","1975",7.578902,
"AUT","POP","TOT","MLN_PER","A","1976",7.565525,
"AUT","POP","TOT","MLN_PER","A","1977",7.56843,
"AUT","POP","TOT","MLN_PER","A","1978",7.562304,
"AUT","POP","TOT","MLN_PER","A","1979",7.549424,
"AUT","POP","TOT","MLN_PER","A","1980",7.549432,
"AUT","POP","TOT","MLN_PER","A","1981",7.56871,
"AUT","POP","TOT","MLN_PER","A","1982",7.574139,
"AUT","POP","TOT","MLN_PER","A","1983",7.56191,
"AUT","POP","TOT","MLN_PER","A","1984",7.561434,
"AUT","POP","TOT","MLN_PER","A","1985",7.564984,
"AUT","POP","TOT","MLN_PER","A","1986",7.569794,
"AUT","POP","TOT","MLN_PER","A","1987",7.574585,
"AUT","POP","TOT","MLN_PER","A","1988",7.585317,
"AUT","POP","TOT","MLN_PER","A","1989",7.619566,
"AUT","POP","TOT","MLN_PER","A","1990",7.67785,
"AUT","POP","TOT","MLN_PER","A","1991",7.75489,
"AUT","POP","TOT","MLN_PER","A","1992",7.840709,
"AUT","POP","TOT","MLN_PER","A","1993",7.905632,
"AUT","POP","TOT","MLN_PER","A","1994",7.936117,
"AUT","POP","TOT","MLN_PER","A","1995",7.948278,
"AUT","POP","TOT","MLN_PER","A","1996",7.959016,
"AUT","POP","TOT","MLN_PER","A","1997",7.968041,
"AUT","POP","TOT","MLN_PER","A","1998",7.976788,
"AUT","POP","TOT","MLN_PER","A","1999",7.992323,
"AUT","POP","TOT","MLN_PER","A","2000",8.011566,
"AUT","POP","TOT","MLN_PER","A","2001",8.042293,
"AUT","POP","TOT","MLN_PER","A","2002",8.082121,
"AUT","POP","TOT","MLN_PER","A","2003",8.118245,
"AUT","POP","TOT","MLN_PER","A","2004",8.169441,
"AUT","POP","TOT","MLN_PER","A","2005",8.225278,
"AUT","POP","TOT","MLN_PER","A","2006",8.267948,
"AUT","POP","TOT","MLN_PER","A","2007",8.295189,
"AUT","POP","TOT","MLN_PER","A","2008",8.321541,
"AUT","POP","TOT","MLN_PER","A","2009",8.341483,
"AUT","POP","TOT","MLN_PER","A","2010",8.361069,
"AUT","POP","TOT","MLN_PER","A","2011",8.388534,
"AUT","POP","TOT","MLN_PER","A","2012",8.426311,
"AUT","POP","TOT","MLN_PER","A","2013",8.46857,"B"
"AUT","POP","WOMEN","MLN_PER","A","1950",3.717283,
"AUT","POP","WOMEN","MLN_PER","A","1951",3.717854,
"AUT","POP","WOMEN","MLN_PER","A","1952",3.713047,
"AUT","POP","WOMEN","MLN_PER","A","1953",3.714151,
"AUT","POP","WOMEN","MLN_PER","A","1954",3.716858,
"AUT","POP","WOMEN","MLN_PER","A","1955",3.719198,
"AUT","POP","WOMEN","MLN_PER","A","1956",3.721059,
"AUT","POP","WOMEN","MLN_PER","A","1957",3.72687,
"AUT","POP","WOMEN","MLN_PER","A","1958",3.736763,
"AUT","POP","WOMEN","MLN_PER","A","1959",3.749395,
"AUT","POP","WOMEN","MLN_PER","A","1960",3.765132,
"AUT","POP","WOMEN","MLN_PER","A","1961",3.783613,
"AUT","POP","WOMEN","MLN_PER","A","1962",3.80416,
"AUT","POP","WOMEN","MLN_PER","A","1963",3.825303,
"AUT","POP","WOMEN","MLN_PER","A","1964",3.847087,
"AUT","POP","WOMEN","MLN_PER","A","1965",3.867159,
"AUT","POP","WOMEN","MLN_PER","A","1966",3.888179,
"AUT","POP","WOMEN","MLN_PER","A","1967",3.911079,
"AUT","POP","WOMEN","MLN_PER","A","1968",3.927525,
"AUT","POP","WOMEN","MLN_PER","A","1969",3.938494,
"AUT","POP","WOMEN","MLN_PER","A","1970",3.949062,
"AUT","POP","WOMEN","MLN_PER","A","1971",3.962948,
"AUT","POP","WOMEN","MLN_PER","A","1972",3.981367,
"AUT","POP","WOMEN","MLN_PER","A","1973",3.998521,
"AUT","POP","WOMEN","MLN_PER","A","1974",4.00484,
"AUT","POP","WOMEN","MLN_PER","A","1975",3.998094,
"AUT","POP","WOMEN","MLN_PER","A","1976",3.992661,
"AUT","POP","WOMEN","MLN_PER","A","1977",3.993346,
"AUT","POP","WOMEN","MLN_PER","A","1978",3.989809,
"AUT","POP","WOMEN","MLN_PER","A","1979",3.983361,
